Date,Team_A,Score_A,Score_B,Team_B,Winner
13-03-2023,Milan,1,1,Salernitana,Draw
18-03-2023,Salernitana,2,2,Bologna,Draw
02-04-2023,Spezia,1,1,Salernitana,Draw
07-04-2023,Salernitana,1,1,Inter,Draw
16-04-2023,Torino,1,1,Salernitana,Draw
22-04-2023,Salernitana,3,0,Sassuolo,Salernitana
30-04-2023,Napoli,1,1,Salernitana,Draw
03-05-2023,Salernitana,3,3,Fiorentina,Draw
08-05-2023,Empoli,2,1,Salernitana,Empoli
13-05-2023,Salernitana,1,0,Atalanta,Salernitana
22-05-2023,Roma,2,2,Salernitana,Draw
27-05-2023,Salernitana,3,2,Udinese,Salernitana
